"","ID","model","term","estimate","conf.low","conf.high","statistic","p.value"
"284","2","2","DAC",3.62,2.03,6.44,4.37,0
"285","2","2","EW",2.92,0.94,9.09,1.85,0.06
"286","2","2","General",1.04,0.57,1.88,0.12,0.91
"287","2","2","OF",1.46,0.26,8.29,0.43,0.67
"288","2","2","SCS",0.27,0.06,1.16,-1.76,0.08
"289","2","3","AR",0.1,0.01,0.74,-2.25,0.02
"290","2","3","BC",0,0,0,-0.01,0.99
"291","2","3","BECCS",0.68,0.24,1.94,-0.72,0.47
"292","2","3","Biochar",1.95,1.11,3.43,2.31,0.02
"293","2","3","DAC",2.76,1.59,4.79,3.6,0
"294","2","3","EW",2.2,0.73,6.63,1.39,0.16
"295","2","3","General",0.85,0.47,1.54,-0.54,0.59
"296","2","3","OF",1.71,0.32,9.14,0.63,0.53
"297","2","3","SCS",0.24,0.05,1.04,-1.91,0.06
"298","2","4","AR",0.09,0.01,0.71,-2.3,0.02
"299","2","4","BC",0,0,0,-0.01,0.99
"300","2","4","BECCS",0.7,0.24,2.06,-0.65,0.51
"301","2","4","Biochar",2.37,1.34,4.21,2.95,0
"302","2","4","DAC",3.56,2.02,6.25,4.41,0
"303","2","4","EW",2.56,0.84,7.86,1.65,0.1
"304","2","4","General",0.91,0.5,1.66,-0.3,0.76
"305","2","4","OF",1.39,0.24,7.96,0.37,0.71
"306","2","4","SCS",0.24,0.05,1.03,-1.93,0.05
"307","2","5","AR",0.08,0.01,0.61,-2.45,0.01
"308","2","5","BC",0,0,0,-0.01,0.99
"309","2","5","BECCS",0.74,0.26,2.11,-0.56,0.58
"310","2","5","Biochar",1.72,0.97,3.04,1.86,0.06
"311","2","5","DAC",2.96,1.7,5.16,3.83,0
"312","2","5","EW",2.22,0.72,6.82,1.4,0.16
"313","2","5","General",0.85,0.48,1.52,-0.55,0.58
"314","2","5","OF",1.35,0.25,7.34,0.34,0.73
"315","2","5","SCS",0.22,0.05,0.94,-2.04,0.04
"316","2","6","AR",0.11,0.01,0.8,-2.18,0.03
"317","2","6","BC",0,0,0,-0.01,0.99
"318","2","6","BECCS",0.71,0.24,2.06,-0.64,0.52
"319","2","6","Biochar",2.14,1.2,3.81,2.58,0.01
"320","2","6","DAC",3.14,1.79,5.52,3.99,0
"321","2","6","EW",2.62,0.85,8.06,1.68,0.09
"322","2","6","General",0.97,0.53,1.76,-0.11,0.91
"323","2","6","OF",1.36,0.24,7.67,0.35,0.73
"324","2","6","SCS",0.26,0.06,1.12,-1.81,0.07
"325","2","7","AR",0.1,0.01,0.71,-2.29,0.02
"326","2","7","BC",0,0,0,-0.01,0.99
"327","2","7","BECCS",0.73,0.25,2.11,-0.58,0.56
"328","2","7","Biochar",1.85,1.05,3.25,2.13,0.03
"329","2","7","DAC",3.08,1.76,5.38,3.96,0
"330","2","7","EW",2.5,0.81,7.74,1.59,0.11
"331","2","7","General",0.9,0.5,1.62,-0.35,0.73
"332","2","7","OF",1.7,0.32,9.13,0.62,0.54
"333","2","7","SCS",0.22,0.05,0.96,-2.01,0.04
"334","2","8","AR",0.1,0.01,0.75,-2.24,0.02
"335","2","8","BC",0,0,0,-0.01,0.99
"336","2","8","BECCS",0.75,0.26,2.13,-0.55,0.58
"337","2","8","Biochar",1.92,1.09,3.4,2.25,0.02
"338","2","8","DAC",3.03,1.76,5.22,4,0
"339","2","8","EW",1.98,0.67,5.83,1.23,0.22
"340","2","8","General",0.87,0.48,1.57,-0.46,0.65
"341","2","8","OF",0.72,0.14,3.8,-0.39,0.7
"342","2","8","SCS",0.23,0.05,1,-1.96,0.05
"343","2","9","AR",0.09,0.01,0.64,-2.4,0.02
